editorial_net_vs_production,editorial_selections,identity_net_vs_production,identity_selections,image,production_selections
0,20,0,20,tg_7d67f551934f28edeff341b70ccfce5f65234b2e73ec99a1b60bd0dda30606b4.png,20
0,20,0,20,tg_7d6ced255a74d563b6ba9811429970c51f605647aac25819e14104f836d93434.png,20
0,15,2,17,tg_7dbba6c4f8dd7af5635a2716dc751f209b4263f22f809114a0c801553ccdfc40.png,15
0,20,0,20,tg_7fcbc9b9b70b6bf56c1d90c0a6e34ecf0e9e31db416700afc372265999e35370.png,20
0,20,0,20,tg_8032ac6c90f358c9f5146680280edda94a7475b752b3c8e64c1670ba64986822.png,20
0,19,1,20,tg_824439e38ce85afa03c44fdee8ce1845235937862c05610fc5636db8767546af.png,19
0,20,0,20,tg_8312afd41d8a4871f7c62f21e6bab0840e48aef15d48e311fc152cc1e1d03e1d.png,20
0,20,0,20,tg_8801edc3bfe1b10de36f91a999f8228b1f9640ec9fc18bbd0a6244c5bfad3906.png,20
0,20,0,20,tg_8d9fa1bf449aa2112a5e80faa2999485caf0d3d00dc7963cde47ef3387eec003.png,20
0,20,0,20,tg_90af9e1629ef38b0590076820045b36c3540189f849fc38d7cdbbbea4ae2c1b2.png,20
0,20,-20,0,tg_912547decff638d587339e61584c8a4954e955087ca86c4fad6b8977507ed5c7.png,20
0,20,0,20,tg_91fc151a519c51105a185875ff1897d00796c29279de667c0fa047fbdfb8a31f.png,20
0,20,1,21,tg_9fd092ecc3b3693cecc5058d3c41366a83c3bc4459e8efd8762d37b1ad67ce21.png,20
0,1,0,1,tg_a017d22c575c01e7eb9c8287e1b62f85d07c34a1a663d2eac974d995ace7f83c.png,1
0,20,0,20,tg_a19e13783f2b7b47348d1e95ece8445a69b5bb21b8312628c2cea66ccc2563ac.png,20
0,20,0,20,tg_a3f5d7ce4a52a64ac2d6c5fb5a74384a0178f7f9d1f3a8771001fc6d2c2a82cf.png,20
0,20,0,20,tg_a7747428a2af8b1230edcb738ac653564d8542ed06143e14ca7d94f6e429757b.png,20
0,20,0,20,tg_a8afc3ebabfea07d2de701cc086c1119649217548f8e662cb09d062ea0bb5d54.png,20
0,20,0,20,tg_a9426dce186893768be1d61ea3ca82d90d05667d085c5a3d217e3a08059eba5b.png,20
0,20,-20,0,tg_ae1ce8a812279c8dd97b71cfcd5efc578ba06dea161ef2de4a2091205eba279e.png,20
0,20,-19,1,tg_b09c4175a50f081e3807a29428f16f7644ef38c809f7f4ac8b20ea3c72aa3785.png,20
0,20,0,20,tg_bd0a36b2007a17e5bc60d6104427e2b03f138bd0ebf8230f4abb07e6fa3b4ac1.png,20
0,20,0,20,tg_bed480dd508146bdeb65d9d58bfaa03fa35f7814e700a4b3bf6b8b99830822de.png,20
